,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
83,CharCunningham,Townie turned agriculture enthusiast | 24 | Award-winning freelance agricultural journalist & PR assistant | Inconsistent blogger | All views my own...,,,,,1,,,,,,,,
84,USAIDAfghan,Thanks for visiting the #USAID #Afghanistan Twitter page. Find our privacy policy at https://t.co/wnwLDypbhU,,,1,,,,,,,1,,,
85,BJP4Jharkhand,Official twitter account of BJP Jharkhand. Follow us on facebook @BJP4Jharkhand,,,1,,,,,,,,,,
86,singshobhasing,#oshodhara acharya. #nature lover #ForestTherapy guide,,,,,,,,,,,1,,
87,PAllenSmith,"Advocate for all things natural. Lover of rich soil, food and old-school flocks. Redefining the iconic American farm. Sharing design, beauty and bounty.",,,,,,,,,,,1,,
88,japantimes_life,"Feature stories on life in Japan (style, travel, food, language, digital) from The Japan Times. 英字新聞・ジャパンタイムズが発信する、教育、グルメ、科学、メディア、トラベルなど、さまざまなジャンルの特集記事。",,,,,1,,,,,,,,
89,JonathanPembs,A lover of landscapes and the natural world. General Manager for the National Trust. Images and thoughts my own.,,,,,,,,,,,1,,
90,FructoseNo,'Ex-Silenced' Orthopaedic Surgeon advocating real food. Healthy Eating advocate #LCHF. Author - Inversion - One Man's Answer for World Peace and Global Health,,,,,1,,,1,1,,,,
91,mahesh10816,Patriotic Indian-Travel professional & Consultant-Always India First- Call a Spade a Spade. RTs not endorsements. Honoured to be followed by @narendramodi ji 🙏,,,,,,,,,,,,,
92,WildlifeTrusts,"Sharing nature stuff, stories & news from The Wildlife Trusts - our goal is nature's recovery on land and at sea. Tweets by TWT comms team.",,,,,,,1,,,,,,
93,rkmbelurmath,"The Official Twitter account of Ramakrishna Math and Ramakrishna Mission, Belur Math.",,,1,,,,,,,,,,
94,msswaminathan,"Official Twitter profile of Prof M S Swaminathan, agriculture scientist",1,,,,,,,,,,,,
95,MGigger,"Farmer, Teacher, Shenaniganizer. Mom to 4 geniuses. Wife to a Viking. #missbaconseeds. $hillin for BigAg, BigPharma, BigPapa. Ocean Front Property available.",,1,,,,,,,,,,,
96,LEMVet,"Scientist, ecologist | Director NIOO-KNAW, Prof. at WU | Sustainable innovation inspired by nature is my 3rd job | C2C|Circle economy https://t.co/u6Gh5Lqyep",1,,,,,,,,,,,,
97,sanjeevkumarbso,,,,1,,,,,,,,,,
98,DFarms001,Dave Delhotal...Strip-Tiller...Soil Health Advocate...Data Driven Farmer...Ag Farmacy Sales Consultant...and formally know as TheStripper,,1,,1,,,,,,,,,
99,will_brinton,Farming systems researcher. Founder of Woods End Soil Lab;  Inventor of @Solvitacarbon. My tweets are my own. - Diversity in Unity,1,1,,,,,,,,,,,
100,MMehlhaf,"@amyerin4020’s Fiancé, @PioneerSeeds Promoter, Certified Crop Adviser, Crop Consultant, Believer in the one true God",,,,1,,1,,,,,,,
