"","screen_name","is_science","is_farmer","is_political","is_business","is_media","is_training","is_nonprofit","is_food","is_medical","is_internationalagency","is_nature","is_other"
"101","narendramodi",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","PMOIndia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Pontifex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","UberFacts",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"105","timesofindia",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"106","ndtv",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"107","BJP4India",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","guardian",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"109","htTweets",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"110","IndiaToday",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"111","sciam",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"112","rsprasad",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","IndianExpress",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"114","ANI",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"115","ANI",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"116","guardiannews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"117","DDNewsLive",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"118","Ginger_Zee",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"119","NHM_London",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","drramansingh",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","nsitharaman",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","narendramodi_in",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","airnewsalerts",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"124","SadhguruJV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"125","dna",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"126","PTI_News",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"127","eNCA",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"128","Greenpeace",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"129","mygovindia",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"130","PIB_India",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"131","PeaceCorps",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"132","mlkhattar",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Ra_THORe",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","IndianDiplomacy",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","ianuragthakur",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","MVenkaiahNaidu",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","_DigitalIndia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","qikipedia",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"139","guardianscience",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"140","MIB_India",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","TOIIndiaNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"142","Salon",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"143","nature_org",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"144","CMOMaharashtra",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","earthskyscience",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"146","UPGovt",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","UNEnvironment",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"148","dawn_com",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"149","KailashOnline",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","ChinaPlusNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"151","indiatvnews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"152","TheNationNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"153","ashokgehlot51",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","pid_gov",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Stanford",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","dallasnews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"157","CNBCTV18Live",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"158","USDA",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","USDA",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","jilevin",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"161","naralokesh",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","EPA",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","NWF",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"164","RujutaDiwekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"165","TajinderBagga",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","vikatan",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"167","michaelpollan",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"168","FinancialXpress",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"169","marthaliving",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"170","DailySabah",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"171","keithlaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"172","BJP4Delhi",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","RadioPakistan",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"174","SenFranken",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","ETNOWlive",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"176","guardianeco",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"177","PreventionMag",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"178","ClimateReality",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"179","BJPLive",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"180","BBCScotlandNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"181","thewire_in",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"182","Acumen",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"183","manojsinhabjp",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","kathmandupost",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"185","BSYBJP",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","CimGOI",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","DiscoveryEd",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"188","tv9gujarati",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"189","NewIndianXpress",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"190","IWF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"191","BTVI",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"192","AnandaVikatan",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"193","TreeHugger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"194","SeanAstin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"195","cebudailynews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"196","jayantsinha",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","PRupala",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Natures_Voice",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"199","NRDC",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"200","RadhamohanBJP",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","USDA_NRCS",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"202","IowaNRCS",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","SoilAssociation",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"204","regeneration_in",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"205","DefendingBeef",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"206","SoilsAlliance",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"207","CoverCropCoach",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"208","SoilHealthWA",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"209","MineralDoc",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"210","chrisleefish",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"211","agricology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","soilhealth1",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"213","NDSUsoilhealth",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"214","farmerdoug93",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","SoilPartners",1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"216","nobleresinst",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"217","RegenAGuk",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"218","LSPnow",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"219","rebuildsoil",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"220","BEHumic",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"221","RECARE_EU",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","JamieRidgely",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"223","nickykylegarden",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"224","SoilsforLife",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"225","SolvitaCarbon",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"226","NestleUSA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"227","suesustainable",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"228","kissthegroundCA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"229","AHDB_Hort",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"230","FarmlandNY",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"231","agbiotech",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"232","niels_corfield",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"233","humusphysicus",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"234","FarmingFutures",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"235","AGRICENLIFER",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","NRCS_Illinois",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"237","HighPlainsJrnl",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"238","SoilCare_eu",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"239","BionutrientFood",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"240","4Rnutrients",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"241","RickBieber81",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","wildercarolineG",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"243","ContinuumAgLLC",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"244","CCSI_IN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","NRCS_Ohio",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"246","AgweekMagazine",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"247","NRCS_SD",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"248","will_brinton",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"249","GreenCoverSeed",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"250","sustainableag",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"251","CristinaGardens",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"252","NRCS_MT",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"253","SCRCA_water",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"254","FertilizerNews",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"255","GrowingReturns",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"256","soil_institute",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"257","CARAresearch",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"258","SaskOrganics",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"259","IAwateralliance",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"260","EATegrity_Sonia",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"261","EWestaway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"262","NebraskaNRCS",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"263","SmallFarmz",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","brownfield",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
